positive,anchor,negative
igreja evangelica pentecostal o brasil para cristo - o brasil para cristo  aguas de santa barbara,o brasil cristo,igreja messianica mundial do brasil - igreja messinica mundial do brasil
harmonia empreendimentos imobiliarios spe ltda - eleva harmonia,harmonia enpreendimentos,construir 35 empreendimentos imobiliarios sa - construir 35
harmonia empreendimentos imobiliarios spe ltda - eleva harmonia,harmonia enpreendimentos,invicto calcados e acessorios ltda - invicto calcados e acessorios
harmonia empreendimentos imobiliarios spe ltda - eleva harmonia,harmonia enpreendimentos,jth construcoes ltda - jth construcoes
banco bradesco sa - bradesco ag av tancredo neves,bradesco ab,banco bradesco sa - bradesco ag sao goncalo do sapucai
banco bradesco sa - bradesco ag av tancredo neves,bradesco ab,banco bradesco sa - bradesco ag sao jose da tapera al
banco bradesco sa - bradesco ag av tancredo neves,bradesco ab,banco bradesco sa - bradesco ag sao luis est unif
usina sao domingosacucar e etanol sa - sitio corrego grande,corrego s. domingos,banco bradesco sa - bradesco ag miracema do tocantins
usina sao domingosacucar e etanol sa - sitio corrego grande,corrego s. domingos,banco bradesco sa - bradesco pa praia do itarare  urb sao vicente sp
usina sao domingosacucar e etanol sa - sitio corrego grande,corrego s. domingos,drogal farmaceutica ltda - drogal sao manuel
viviane lima nascimento - mini mercado do carmo,mercado viviane,congregacao crista no brasil - relatorio 140561 bairro dos grilos
viviane lima nascimento - mini mercado do carmo,mercado viviane,banco bradesco sa - bradesco ag agamenon magalhaes est unif
viviane lima nascimento - mini mercado do carmo,mercado viviane,mitra diocesana de limeira - paroquia santa teresinha do menino jesus
diocese de presidente prudente - paroquia de santa luzia,diosese presidente,arquidiocese de campinas - paroquia sao jose de anchieta
diocese de presidente prudente - paroquia de santa luzia,diosese presidente,arquidiocese de sorocaba - paroquia de sao jose
diocese de presidente prudente - paroquia de santa luzia,diosese presidente,diocese de piracicaba - paroquia sao pedro e sao paulo
banco bradesco sa - bradesco ag prime juveve,bradesco prim jubeve,banco bradesco sa - bradesco ag cascavel
banco bradesco sa - bradesco ag prime juveve,bradesco prim jubeve,banco bradesco sa - bradesco ag prime barao de itapura
banco bradesco sa - bradesco ag prime juveve,bradesco prim jubeve,banco bradesco sa - bradesco ag prime parque da aclimacao
area 2 participacoes ltda - area 2 participacoes,area 2 paticipacoes,espaco mediar camara de mediacao ltda - espaco mediar camara de mediacao ponta grossa
area 2 participacoes ltda - area 2 participacoes,area 2 paticipacoes,jth construcoes ltda - jth construcoes
area 2 participacoes ltda - area 2 participacoes,area 2 paticipacoes,2 t construcoes e servicos ltda - 2 t construcoes
congregacao crista no brasil - relatorio 141618 jardim dos passaros,jardim dos pasaros,congregacao crista no brasil - congregacao crista no brasil  jardim coopagro
congregacao crista no brasil - relatorio 141618 jardim dos passaros,jardim dos pasaros,congregacao crista no brasil - congregacao crista no brasil  copaco
congregacao crista no brasil - relatorio 141618 jardim dos passaros,jardim dos pasaros,igreja evangelica assembleia de deus em sorocabasp - congregacao de caxanga  pilar do sul
allpark empreendimentos participacoes e servicos sa - ed com merit office  mall,allpark empreendimentos,allpark empreendimentos participacoes e servicos sa - inst en uniceplac
allpark empreendimentos participacoes e servicos sa - ed com merit office  mall,allpark empreendimentos,petrolini e freitas empreendimentos spe ltda - petrolini e freitas
allpark empreendimentos participacoes e servicos sa - ed com merit office  mall,allpark empreendimentos,ares empreendimentos imobiliarios ltda - ares empreendimentos imobiliarios
hapvida assistencia medica sa - central de atendimento rondonopolis,rondonopolis atendimento,notre dame intermedica saude sa - samhointermedica  cmt ii
hapvida assistencia medica sa - central de atendimento rondonopolis,rondonopolis atendimento,associacao brasileira da igreja de jesus cristo dos santos dos ultimos dias - rondonopolis 3
hapvida assistencia medica sa - central de atendimento rondonopolis,rondonopolis atendimento,banco bradesco sa - bradesco ag miracema do tocantins
comercio e industria de sorvetes eskimo ltda - eskimo  atacadao icarasc,eskimo atacado icara,comercio e industria de sorvetes eskimo ltda - eskimo  atacadao tijucassc
comercio e industria de sorvetes eskimo ltda - eskimo  atacadao icarasc,eskimo atacado icara,comercio e industria de sorvetes eskimo ltda - eskimo  atacadao cachoeirinhars
comercio e industria de sorvetes eskimo ltda - eskimo  atacadao icarasc,eskimo atacado icara,comercio e industria de sorvetes eskimo ltda - eskimo  atacadao guarapuavapr
sapore sa - cr  2890,sapore restaurante,sapore sa - cr 4835
sapore sa - cr  2890,sapore restaurante,sapore sa - sapore cr 2730
sapore sa - cr  2890,sapore restaurante,sapore sa - sapore cr 4178
sapore sa - sapore cr 4178,sapor cr 4178,sapore sa - sapore cr 3606
sapore sa - sapore cr 4178,sapor cr 4178,sapore sa - cr 4809
sapore sa - sapore cr 4178,sapor cr 4178,sapore sa - cr 3897 cr 4328
sunset distribuidora de alimentos e representacoes ltda - acai sunset cohatrac,sunset açaí,rc5 distribuidora ltda - rc5 distribuidora ltda  fl02
sunset distribuidora de alimentos e representacoes ltda - acai sunset cohatrac,sunset açaí,invicto calcados e acessorios ltda - invicto calcados e acessorios
sunset distribuidora de alimentos e representacoes ltda - acai sunset cohatrac,sunset açaí,i7 tec solucoes ltda - i7 tec solucoes
banco santander brasil sa - assis brasil icaprs,banco asis,congregacao crista no brasil - ccb assentamento uniao da vitoria
banco santander brasil sa - assis brasil icaprs,banco asis,banco santander brasil sa - agencia pinhaisintpr
banco santander brasil sa - assis brasil icaprs,banco asis,banco santander brasil sa - sao carlossp ii
cooperativa de credito poupanca e investimento grandes lagos do parana e litoral paulista  sicredi grandes lagos prsp - unidade de atendimento de rio bonito do iguacu,unidade rio bonito,banco bradesco sa - bradesco ag miracema do tocantins
cooperativa de credito poupanca e investimento grandes lagos do parana e litoral paulista  sicredi grandes lagos prsp - unidade de atendimento de rio bonito do iguacu,unidade rio bonito,atacadao dos eletrodomesticos do nordeste ltda  em recuperacao judicial - atacadao dos eletros
cooperativa de credito poupanca e investimento grandes lagos do parana e litoral paulista  sicredi grandes lagos prsp - unidade de atendimento de rio bonito do iguacu,unidade rio bonito,ares empreendimentos imobiliarios ltda - ares empreendimentos imobiliarios
igreja evangelica assembleia de deus - igreja assembleia de deus  sao jose,igreja ad,igreja evangelica assembleia de deus em sao paulo - iead jd sao manoel  guarulhos
igreja evangelica assembleia de deus - igreja assembleia de deus  sao jose,igreja ad,igreja evangelica assembleia de deus - igreja evangelica assembleia de deusbairro saramandaia
igreja evangelica assembleia de deus - igreja assembleia de deus  sao jose,igreja ad,igreja evangelica assembleia de deus em sao paulo - iead jd maria dirce  guarulhos
fundo municipal dos direitos da pessoa idosa - fundo municipal dos direitos da pessoa idosa de castelo,municipal idosa,banco do estado do rio grande do sul sa - banrisul sa
fundo municipal dos direitos da pessoa idosa - fundo municipal dos direitos da pessoa idosa de castelo,municipal idosa,banco do estado do rio grande do sul sa - agencia tiradentes do sul
fundo municipal dos direitos da pessoa idosa - fundo municipal dos direitos da pessoa idosa de castelo,municipal idosa,arquidiocese de sorocaba - paroquia de sao jose
banco bradesco sa - bradesco ag campina grande  centro est unif,bradesco ag. campina,banco bradesco sa - bradesco ag prime sao cristovao est unif
banco bradesco sa - bradesco ag campina grande  centro est unif,bradesco ag. campina,banco bradesco sa - bradesco pa diamante do norte pr
banco bradesco sa - bradesco ag campina grande  centro est unif,bradesco ag. campina,banco bradesco sa - ag top tier  campinas sp
m c logistica inteligente ltda - m c logistica inteligente,logistica inteligente,ares empreendimentos imobiliarios ltda - ares empreendimentos imobiliarios
m c logistica inteligente ltda - m c logistica inteligente,logistica inteligente,i7 tec solucoes ltda - i7 tec solucoes
m c logistica inteligente ltda - m c logistica inteligente,logistica inteligente,azenha empreendimentos imobiliarios ltda - azenha empreendimentos imobiliarios
banco santander brasil sa - conexao rio de janeiro,conexao rj,banco santander brasil sa - sao carlossp ii
banco santander brasil sa - conexao rio de janeiro,conexao rj,cooperativa de credito poupanca e investimento centro sul  sicredi centro sul prscrj - unidade de atendimento de itaperuna
banco santander brasil sa - conexao rio de janeiro,conexao rj,banco bradesco sa - bradesco ag miracema do tocantins
mitra diocesana de lorena - paroquia nossa senhora da conceicao,paroquia nossa senhora,arquidiocese de campinas - paroquia sao jose de anchieta
mitra diocesana de lorena - paroquia nossa senhora da conceicao,paroquia nossa senhora,mitra diocesana de santos - paroquia do senhor bom jesus
mitra diocesana de lorena - paroquia nossa senhora da conceicao,paroquia nossa senhora,mitra diocesana de santos - convento de nossa senhora da conceicao
thais de mesquita cafe - thais centro de fisioterapia,thais cafe,colsan  associacao beneficente de coleta de sangue - agencia transfusional do hospital reginoal sul
thais de mesquita cafe - thais centro de fisioterapia,thais cafe,secretaria de estado da saude - centro de med de reab lucy montoro em s j dos campos
thais de mesquita cafe - thais centro de fisioterapia,thais cafe,fernandez comercio de medicamentos sa - mb farmacias
allpark empreendimentos participacoes e servicos sa - inst en celso pierro  puc,inst en celso,petrolini e freitas empreendimentos spe ltda - petrolini e freitas
allpark empreendimentos participacoes e servicos sa - inst en celso pierro  puc,inst en celso,allpark empreendimentos participacoes e servicos sa - ed com merit office  mall
allpark empreendimentos participacoes e servicos sa - inst en celso pierro  puc,inst en celso,rjb empreendimentos e participacoes ltda - jbr empreendimentos e participacoes
via brasil fashion comercio de roupas ltda - polo wear shopping camacari,polo wear,goiacom comercio distribuicao e servicos ltda - goiacom
via brasil fashion comercio de roupas ltda - polo wear shopping camacari,polo wear,banco bradesco sa - bradesco ag marques de caravelas est unif
via brasil fashion comercio de roupas ltda - polo wear shopping camacari,polo wear,banco bradesco sa - bradesco ag agamenon magalhaes est unif
secretaria de estado da saude - dp rg saude leoncio de souza queiroz campinas drs vii,saude leoncio,igreja evangelica assembleia de deus - igreja evangelica assembleia de deusbairro saramandaia
secretaria de estado da saude - dp rg saude leoncio de souza queiroz campinas drs vii,saude leoncio,senat servico nacional de aprendizagem do transporte - barra mansarj  denisar arneiro  unidade b  n 53
secretaria de estado da saude - dp rg saude leoncio de souza queiroz campinas drs vii,saude leoncio,banco do estado do rio grande do sul sa - banrisul sa
j alves e oliveira ltda - zenir moveis e eletros,zenir mveis,coelho construcoes limitada - coelho construcoes
j alves e oliveira ltda - zenir moveis e eletros,zenir mveis,prime construcoes ltda - prime construcoes
j alves e oliveira ltda - zenir moveis e eletros,zenir mveis,comercio de combustiveis nevoeiro ltda - rede nevoeiro
banco santander brasil sa - pca do aviaoanapolisgo,pca do abiao anapolis,uniao central brasileira da igreja adventista do setimo dia - emporio vida natural
banco santander brasil sa - pca do aviaoanapolisgo,pca do abiao anapolis,cooperativa de credito poupanca e investimento centro sul  sicredi centro sul prscrj - unidade de atendimento de itaperuna
banco santander brasil sa - pca do aviaoanapolisgo,pca do abiao anapolis,secretaria de estado da saude - ame vale do jurumirim
associacao brasileira da igreja de jesus cristo dos santos dos ultimos dias - sei feira de santana,s.e.i feira de santana,associacao brasileira da igreja de jesus cristo dos santos dos ultimos dias - vila fernandes canoas niteroi
associacao brasileira da igreja de jesus cristo dos santos dos ultimos dias - sei feira de santana,s.e.i feira de santana,igreja evangelica assembleia de deus em sao paulo bras  capital - o
associacao brasileira da igreja de jesus cristo dos santos dos ultimos dias - sei feira de santana,s.e.i feira de santana,igreja messianica mundial do brasil - igreja messinica mundial do brasil
drogal farmaceutica ltda - drogal sao joao da boa vista v,drogall,drogal farmaceutica ltda - drogal casa branca ii
drogal farmaceutica ltda - drogal sao joao da boa vista v,drogall,m s s de campos terraplanagem - v a da silva terraplanagem
